"dataset_id","parent_dataset_id","source_url","accessed_at","source_file","source_md5","loader","subset_rule","n","skewness","excess_kurtosis","support_sign","theta_star","load_ok","load_error","notes","specialist_id","phase","specialist_family","taxonomy_evidence_grade","taxonomy_validation_class","taxonomy_legacy_final_decision","taxonomy_source_file","taxonomy_source_md5","source_seed","mode","condition_id","empirical_profile","profile_match","benchmark_layer","benchmark_policy","primary_metric","best_benchmark_joint","gain_vs_oracle_benchmark_mean","gain_vs_oracle_benchmark_q95","oracle_gate_point","oracle_pareto_point","oracle_ci_confirmed","oracle_bootstrap_B_used","contamination_rate","outlier_scale_mad","contamination_type","m_requested","m_effective","contam_condition","domain","variable","transform","family_hint","preregistration_version","profile_gate_enabled","profile_gate_policy","benchmark_policy_primary","oracle_audit_secondary_only","paired_ci_policy","strict_ci_contains_point_policy","fdr_policy","output_layout_policy","pareto_tolerance_relative","wins_saturation_cap","futility_stop_enabled","depth_probe_secondary_only"
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R024","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","101","locked_unseen_similar",1,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0128977198435809,-0.0581200940920781,FALSE,FALSE,FALSE,0,0.01,6,"clustered_symmetric",300,300,"0.01|6|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R024","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","101","locked_unseen_similar",2,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",0.00207810600552031,0.00997448866585987,TRUE,TRUE,FALSE,0,0.01,6,"clustered_symmetric",1000,1000,"0.01|6|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",1,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0287588517914529,-0.114130151496698,FALSE,FALSE,FALSE,0,0.05,30,"clustered_symmetric",300,300,"0.05|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",2,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","harmonic",-0.075144844585839,-0.17004924213338,FALSE,FALSE,FALSE,0,0.1,30,"clustered_symmetric",300,300,"0.1|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",3,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0291937649391346,-0.100624473782057,FALSE,FALSE,FALSE,0,0.05,30,"clustered_symmetric",500,500,"0.05|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",4,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","mom_k10",-0.042310430209027,-0.0951810467800818,FALSE,FALSE,FALSE,0,0.1,30,"clustered_symmetric",500,500,"0.1|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",5,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0241274227186664,-0.0761890262648842,FALSE,FALSE,FALSE,0,0.05,30,"clustered_symmetric",1000,1000,"0.05|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","original_regime",6,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0243491845170815,-0.0729183091768233,FALSE,FALSE,FALSE,0,0.1,30,"clustered_symmetric",1000,1000,"0.1|30|clustered_symmetric","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","locked_unseen_similar",1,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0248906126810721,-0.0934523395941022,FALSE,FALSE,FALSE,0,0.02,20,"symmetric_t",300,300,"0.02|20|symmetric_t","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","locked_unseen_similar",2,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.0197203783584853,-0.0616751358291214,FALSE,FALSE,FALSE,0,0.02,20,"symmetric_t",500,500,"0.02|20|symmetric_t","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
"RD_gt_pizzaplace_auto__depth_upper_tail_enriched","RD_gt_pizzaplace_auto","https://vincentarelbundock.github.io/Rdatasets/csv/gt/pizzaplace.csv","2026-06-16 12:39:43 -0400",NA,NA,"inline_depth_probe","auto_numeric_column; rdatasets_rows=49574; rdatasets_n_numeric=1; depth_probe=upper_tail_enriched",49574,-0.254701949899705,-0.603035779380243,"strictly_positive",17.5351615766329,TRUE,NA,"Rdatasets public catalog: gt pizzaplace - A year of pizza sales from a pizza place ; doc=https://vincentarelbundock.github.io/Rdatasets/doc/gt/pizzaplace.html V5 secondary within-dataset depth probe; not independent N.","TAX-Q1R025","NEST26_TAXONOMY","normal","negative_control_success","benchmark_control","negative_control_success","/home/alrier/Documents/Final_Results_15June2026/05_EVIDENCE_TAXONOMY_NEST26/evidence_results_20260611/tables/evidence_taxonomy_all_candidates.csv","e53ebd7676dfde0a27e460a1ef244ba1","202","locked_unseen_similar",3,"normal_like",TRUE,"secondary_oracle_audit","joint_rank","q95","winsorized_0.1",-0.015881351715401,-0.0623039411814285,FALSE,FALSE,FALSE,0,0.02,20,"symmetric_t",1000,1000,"0.02|20|symmetric_t","rdatasets_gt","__auto_numeric__","raw","empirical_public","V5_audit_ready",TRUE,"Pre-registered empirical profile gate: bounded/proportion by hint/domain; zero-inflated/count by hint/domain; normal_like when abs(skew)<=0.50 and excess_kurtosis<=1.00; heavy_tail_symmetric when abs(skew)<=1.00 and excess_kurtosis>3.00; lognormal_like when skew>1.00 with positive support; weibull_like when skew>0.50 with positive support; otherwise empirical_unknown.","profile_preregistered",TRUE,"paired bootstrap aligned to the same reported gain statistic",TRUE,"Benjamini-Hochberg FDR is computed at dataset level on external_dataset_level_decisions.csv for primary eligible in-regime rows only. Primary alpha=0.05; secondary sensitivity alpha=0.1.","01_results_basic contains compact final results; 02_reports contains generated report files; 03_audit_ready contains full provenance, decisions, oracle audit, and split CSVs; 98_discarded_nonfinal is reserved for obsolete or nonfinal byproducts; 99_recovery_logs contains downloads, checkpoints, temporary recovery outputs, and logs.",0.005,10,TRUE,TRUE
